id,text,rating
38,"This time of year is the best for consecutive nights of clear dark skies. This section is in the western left quadrant of the veil nebula 2400ly away in Cygnus. 

The source was a star 20x more massive than the Sun which exploded between 10,000 and 20,000 years ago. 

So colorful!

 #astronomy 🔭",
39,"5 years ago to today. 310lbs to 235lbs. 2 shirt sizes and 3 pants sizes. I’ve overcome so much to get here and still struggle to love myself.  But when I look in the mirror or measure my arms and see the progress, I can’t help but be so proud of how far I’ve come. Keep going, even when it’s hard.",
40,"So much in-your-face energy in this new initiative against the ""hostile takeover of New College of Florida."" Lots of questions abt labor, $, and whether it can be sustained - but you gotta throw something against the wall and see if it sticks (and try to make it stick).",
41,"More payphones from Toronto's subway: a comparatively quiet corner of Union Station, the busiest stop served by a single line. It connects to the intercity and regional passenger train station and a bus depot. These phones were reinstalled during relatively recent renovations so maybe there's hope.",
42,"The Dictators were one of my first favorite bands, and one of the few that I’ve asked for autographs (when I interviewed 3/5ths of the band when I was at WNYU back in 1980). I’m paying tribute to Scott “Top Ten” Kempner today on my WFMU show; tune in at the top of the hour on wfmu.org and the radio.",
43,"Suburban Halifax (Cole Harbour), NS

Photos made on August 24, 2023 using a Nikomat EL with a Nikkor-S Auto 55mm f/1.2 on Ilford Delta 400.

#BelieveInFilm",
44,"The state of the #gamedev industry is quite depressing. But I encountered this beauty this morning… It’s the little things.. 😍
#NotAIgenerated",
45,"Today, I made a few shots with my Mamiya C330 for #FP4Party. Old decaying vehicles must be a guy thing... This one with my phone. #BelieveInFilm",
46,"""Catastrophic climate change: Lessons from the dinosaurs"" | An excerpt from my new book #OurFragileMoment (courtesy of Bulletin of the Atomic Scientists) infused with the legacy of the great Carl Sagan on this #CarlSaganDay eve:
thebulletin.org/premium/2023...",
47,"Wall Street lost out on billions in fees as private credit lured away corporate borrowers. Now it wants a cut.

Read The Big Take ⬇️",
48,"Quick test roll in the garden to confirm everything is working and then processed in the newly printed reel (that came out great and loads reasonably easily). Everything looks good! 

#BelieveInFilm #3dPrinting #ShittyCameraChallenge",
49,"10 films to get to know me 

1. Interview with the Vampire 
2. Steel Magnolias 
3. Bram Stoker’s Dracula (1992)
4. Trick’r Treat 
5. Dances With Wolves 
6. Halloween (1978)
7. Titanic 
8. All of John Wick, honestly 
9. Forrest Gump
10. Dracula 2000",
50,"Nobody: Wow, what does noted education scholar and fair-minded and not-at-all-racist analyst Bret Stephens think about the Harvard situation?

Bret Stephens:",
51,"Spectacular discovery in Egypt of 1st Dynasty SEALED & intact wine jars!🍷🍇🏺
Key research opportunity into the vinicultural networks of Egypt at an early date (5000 yrs BP!), tying into the early southwest dissemination of wine production knowledges. AncientSky 🗃️
english.ahram.org.eg/NewsContent/...",
52,"The rear lens caps for my Mamiya TLR have arrived from Simon Forster Photographic @user. Why orange, you might ask, or might not? Because I am less likely to misplace them than the more traditional black variety. The original factory caps are like hens' teeth. #BelieveInFilm",
53,"As so many of us have been saying, perceptions of inflation have a lot to do with grocery prices

Please also note that it's not just labor and supply chain issues that have caused prices to jump. Concentration rears its ugly head again",
54,"What's frustrating about the ""Biden can't just wave a magic wand!"" defense is that our complaints aren't just about Biden. They're about the inequities created by a myriad of interconnecting systems he represents and over which he wields outsized power. [1/4]",
55,"the three hundred foot long school bus is an engineering marvel and a complete and total social failure, the implications of which are still unfolding as it is continues to service the school distrcit as now the only bus,",
56,"I think it's important to critique games holistically. Meaning, taking into account the intent, content and context of the piece.

Artistic goals, tech limitations and production are key.

Otherwise we risk making sweeping generalizations out of destructible fruits. Or the look of a main menu.",
57,"Tonight, I'm going to actually visit a gym and work out. I promise this won't change me.
Wait, I mean I hope it does change some things about me. Just not all of me.
I feel that I'm over-explaining now.",
58,"I’m the only one who had any fun on annual avian exam day. Caught & boxed 22 raptors, & my first bald eagle grabs (no pic bc we were very tired). A photographer followed me into the mews for this shot bc I was having a blast. It’s a total rush! I like big birds and I cannot lie🪶 
#redtailhawk",
59,My Arctic sea-ice thickness and volume graphics are updated for September 2023: zacklabe.com/arctic-sea-i...,
60,"Still not an AI supporter. And you can't make me. You can pay me, I'll take the money, but I'll still shit on it and use that money to pay actual artists. That would be that.",
